DonorID,DonorStatus,Recurring Status,Name,Total Contributions ($),Total Contributions (Freq),DonorType,First Gift Date,Last Gift Date,Recency (Days),Recurring Status Freq,Gift Officer,,,,,,,,,,,,,,,,,,,,,
D-00001,Active,Not Recurrent,Patricia Mitchell,$250.00,1,Individual,9/14/2025,9/14/2025,108,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00002,Lapsing,Not Recurrent,Patricia Garcia,$275.00,3,Individual,5/22/2022,9/8/2024,479,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00003,Lapsed,Not Recurrent,Emily Smith,$250.00,1,Individual,5/30/2023,5/30/2023,946,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00004,Lapsed,Not Recurrent,Melissa Thompson,$150.00,1,Individual,5/30/2022,5/30/2022,1311,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00005,Active,Not Recurrent,Samantha White,"$26,000.00",3,Individual,3/18/2022,8/12/2025,141,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00006,Active,Active,Richard Harris,"$2,625.00",35,Individual,2/3/2023,12/3/2025,28,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00007,Active,Not Recurrent,Elizabeth Hill,"$23,500.00",4,Individual,10/31/2022,1/9/2025,356,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00008,Lapsed,Not Recurrent,Brenda Anderson,$100.00,1,Individual,7/2/2022,7/2/2022,1278,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00009,Active,Not Recurrent,Larry Rivera,$250.00,1,Individual,3/5/2025,3/5/2025,301,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00010,Active,Not Recurrent,Brenda Wright,"$27,500.00",3,Individual,3/31/2023,9/29/2025,93,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00011,Active,Not Recurrent,Shirley Garcia,$325.00,3,Individual,3/18/2022,10/3/2025,89,Not Recurrent,James Whitfield,,,,As of date,,,,,,,,,,,,,,,,,
D-00012,Active,Active,Kathleen King,"$1,200.00",45,Individual,1/1/2022,12/1/2025,30,Monthly,Maria Chen,,,,12/31/2025,,,,,,,,,,,,,,,,,
D-00013,Lapsed,Not Recurrent,Donna Ramirez,$250.00,2,Individual,10/14/2022,11/13/2022,1144,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00014,Active,Not Recurrent,Joshua Green,"$40,000.00",4,Individual,11/29/2022,3/4/2025,302,Not Recurrent,Aisha Bello,,,DonorType,DonorStatus,Avg Recency (days),Sum of Total Contributions (%),DonorID Count,,CampaignName,CampaignID,Gift Counts,Sum of Gifts ($),Goal Amt($),Goal (%),,DonorStatus,Donor Counts,Avg Contributions,Avg of Recency (days),Sum of Total Contributions ($),
D-00015,Lapsing,Not Recurrent,James Hill,$100.00,1,Individual,12/27/2024,12/27/2024,369,Not Recurrent,Aisha Bello,,,Individual,Lapsed,6323,79.33%,349,,2022 Year-End Appeal,CMP-01,49,"$48,475.00","$40,000.00",121.19%,,Active,321,10.8,125,"$775,360.00",
D-00016,Never Gave,Not Recurrent,William Garcia,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,James Whitfield,,,,Lapsing,542,9.82%,75,,2022 Spring Gala,CMP-02,43,"$44,675.00","$60,000.00",74.46%,,Lapsed,158,1.7,1052,"$29,010.00",
D-00017,Never Gave,Not Recurrent,Helen Hill,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,James Whitfield,,,,Active,177,3.10%,114,,Giving Tuesday 2022,CMP-03,41,"$17,750.00","$15,000.00",118.33%,,Lapsing,77,2.6,531,"$31,820.00",
D-00018,Active,Active,Jeffrey King,"$1,200.00",46,Individual,1/1/2022,12/1/2025,30,Monthly,Maria Chen,,,Individual Total,,4215,92.25%,538,,2023 Year-End Appeal,CMP-04,43,"$37,825.00","$45,000.00",84.06%,,Grand Total,556,7.1,444,"$836,190.00",
D-00019,Active,Not Recurrent,Lakeside Rotary Club,$25.00,1,Organization,5/24/2025,5/24/2025,221,Not Recurrent,Aisha Bello,,,Organization,Lapsed,6006,5.47%,37,,2023 Spring Gala,CMP-05,40,"$35,450.00","$65,000.00",54.54%,,,,,,,
D-00020,Lapsing,Not Recurrent,Anna Rodriguez,$100.00,1,Individual,5/25/2024,5/25/2024,585,Not Recurrent,Tom Russo,,,,Lapsing,485,2.13%,14,,Giving Tuesday 2023,CMP-06,42,"$41,775.00","$18,000.00",232.08%,,,,,,,
D-00021,Lapsed,Not Recurrent,Jason Clark,$200.00,2,Individual,6/7/2022,8/1/2022,1248,Not Recurrent,Maria Chen,,,,Active,186,0.15%,11,,Community 5K Fun Run 2023,CMP-07,42,"$38,050.00","$12,000.00",317.08%,,Active,321,,,Active,"$775,360.00"
D-00022,Active,Not Recurrent,Northgate Manufacturing,$450.00,4,Organization,9/1/2022,8/26/2025,127,Not Recurrent,Aisha Bello,,,Organization Total,,3727,7.75%,62,,2024 Year-End Appeal,CMP-08,31,"$56,625.00","$50,000.00",113.25%,,Lapsed,158,,,Lapsed,"$29,010.00"
D-00023,Active,Not Recurrent,Stephen Miller,$25.00,1,Individual,12/16/2025,12/16/2025,15,Not Recurrent,Maria Chen,,,Grand Total,,4165,100.00%,600,,2024 Spring Gala,CMP-09,27,"$5,825.00","$70,000.00",8.32%,,Lapsing,77,,,Lapsing,"$31,820.00"
D-00024,Lapsing,Not Recurrent,Margaret Sanchez,$700.00,3,Individual,9/10/2022,5/12/2024,598,Not Recurrent,Tom Russo,,,,,,,,,Giving Tuesday 2024,CMP-10,43,"$70,525.00","$20,000.00",352.63%,,,,,,,
D-00025,Lapsed,Not Recurrent,Brenda Nelson,$50.00,1,Individual,2/1/2023,2/1/2023,1064,Not Recurrent,James Whitfield,,,,,,,,,Community 5K Fun Run 2024,CMP-11,25,"$42,225.00","$13,000.00",324.81%,,,,,,,
D-00026,Never Gave,Not Recurrent,Michael Nguyen,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,James Whitfield,,,,,,,,,2025 Year-End Appeal,CMP-12,35,"$31,225.00","$55,000.00",56.77%,,,,,,,
D-00027,Active,Active,Cedar Ridge Corporation,$80.00,8,Organization,5/22/2025,12/22/2025,9,Monthly,James Whitfield,,,,,,,,,2025 Spring Gala,CMP-13,41,"$17,775.00","$75,000.00",23.70%,,,,,,,
D-00028,Lapsed,Not Recurrent,Justin Torres,$75.00,1,Individual,10/8/2022,10/8/2022,1180,Not Recurrent,James Whitfield,,,,,,,,,Giving Tuesday 2025,CMP-14,38,"$49,650.00","$22,000.00",225.68%,,,,,,,
D-00029,Lapsed,Not Recurrent,Joshua Robinson,$50.00,1,Individual,11/30/2022,11/30/2022,1127,Not Recurrent,Maria Chen,,,,,,,,,Community 5K Fun Run 2025,CMP-15,51,"$91,275.00","$14,000.00",651.96%,,,,,,,
D-00030,Lapsed,Not Recurrent,Kimberly Rodriguez,$50.00,1,Individual,8/2/2022,8/2/2022,1247,Not Recurrent,Aisha Bello,,,,,,,,,Monthly Giving Program,CMP-16,3432,"$157,015.00",$0.00,N/A,,,,,,,
D-00031,Active,Not Recurrent,Brandon Adams,$75.00,1,Individual,11/21/2025,11/21/2025,40,Not Recurrent,Aisha Bello,,,,,,,,,Corporate Match Drive 2024,CMP-17,25,"$13,700.00","$25,000.00",54.80%,,,,,,,
D-00032,Lapsing,Not Recurrent,Stephen Martinez,$200.00,3,Individual,3/2/2022,8/8/2024,510,Not Recurrent,Aisha Bello,,,,,,,,,Emergency Relief Appeal 2025,CMP-18,37,"$36,350.00","$30,000.00",121.17%,,,,,,,
D-00033,Active,Canceled,Michael Garcia,$240.00,15,Individual,1/1/2022,10/1/2025,91,Quarterly,Maria Chen,,,,,,,,,,Grand Total,4085,"$836,190.00",,,,,,,,,
D-00034,Active,Not Recurrent,Jeffrey Scott,$100.00,1,Individual,4/22/2025,4/22/2025,253,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00035,Active,Active,Stephen Martinez,"$3,225.00",42,Individual,6/16/2022,12/16/2025,15,Monthly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00036,Never Gave,Not Recurrent,Melissa Roberts,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,2022 Year-End Appeal,"$48,475.00 ",,,,
D-00037,Lapsed,Not Recurrent,Daniel Clark,$250.00,1,Individual,6/24/2023,6/24/2023,921,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,2022 Spring Gala,"$44,675.00",,,,
D-00038,Lapsed,Not Recurrent,Susan Harris,$500.00,2,Individual,7/20/2022,12/4/2022,1123,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,Giving Tuesday 2022,"$17,750.00",,,,
D-00039,Active,Not Recurrent,Mark Johnson,$200.00,2,Individual,3/7/2022,2/19/2025,315,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,2023 Year-End Appeal,"$37,825.00",,,,
D-00040,Active,Not Recurrent,Jonathan Perez,$50.00,1,Individual,9/16/2025,9/16/2025,106,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,2023 Spring Gala,"$35,450.00",,,,
D-00041,Active,Not Recurrent,Kenneth Ramirez,$250.00,1,Individual,4/28/2025,4/28/2025,247,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,Giving Tuesday 2023,"$41,775.00",,,,
D-00042,Lapsing,Canceled,Eric Wright,$520.00,24,Individual,1/1/2022,2/1/2024,699,Monthly,Aisha Bello,,,,,,,,,,,,,,,,Community 5K Fun Run 2023,"$38,050.00",,,,
D-00043,Active,Active,Michelle Nelson,$375.00,15,Individual,4/26/2022,10/26/2025,66,Quarterly,Priya Nair,,,,,,,,,,,,,,,,2024 Year-End Appeal,"$56,625.00",,,,
D-00044,Active,Not Recurrent,Daniel Flores,$75.00,1,Individual,1/19/2025,1/19/2025,346,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,2024 Spring Gala,"$5,825.00",,,,
D-00045,Active,Active,Carol Robinson,$960.00,45,Individual,1/1/2022,12/1/2025,30,Monthly,Priya Nair,,,,,,,,,,,,,,,,Giving Tuesday 2024,"$70,525.00",,,,
D-00046,Active,Not Recurrent,Samantha Perez,$75.00,1,Individual,5/1/2025,5/1/2025,244,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,Community 5K Fun Run 2024,"$42,225.00",,,,
D-00047,Active,Not Recurrent,Jacob Flores,$500.00,1,Individual,12/18/2025,12/18/2025,13,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,2025 Year-End Appeal,"$31,225.00",,,,
D-00048,Lapsing,Not Recurrent,James Carter,$50.00,1,Individual,4/28/2024,4/28/2024,612,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,2025 Spring Gala,"$17,775.00",,,,
D-00049,Active,Active,Jessica Robinson,$130.00,12,Individual,12/15/2024,12/15/2025,16,Monthly,Priya Nair,,,,,,,,,,,,,,,,Giving Tuesday 2025,"$49,650.00",,,,
D-00050,Lapsed,Not Recurrent,Nicholas Ramirez,$250.00,1,Individual,8/3/2023,8/3/2023,881,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,Community 5K Fun Run 2025,"$91,275.00",,,,
D-00051,Active,Not Recurrent,Eric Young,$350.00,1,Individual,12/16/2024,7/16/2025,168,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,Monthly Giving Program,"$157,015.00",,,,
D-00052,Lapsed,Not Recurrent,Sarah Martinez,$50.00,1,Individual,7/1/2023,7/1/2023,914,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,Corporate Match Drive 2024,"$13,700.00",,,,
D-00053,Active,Not Recurrent,Linda Wilson,$200.00,1,Individual,10/14/2025,10/14/2025,78,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,Emergency Relief Appeal 2025,"$36,350.00",,,,
D-00054,Never Gave,Not Recurrent,Joshua Carter,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00055,Active,Canceled,Gary Anderson,$320.00,16,Individual,1/1/2022,10/1/2025,91,Quarterly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00056,Lapsing,Not Recurrent,Thomas Flores,$25.00,1,Individual,9/12/2024,9/12/2024,475,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00057,Active,Active,Kathleen Lopez,"$1,000.00",38,Individual,9/2/2022,12/2/2025,29,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00058,Never Gave,Not Recurrent,Laura Taylor,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00059,Lapsing,Not Recurrent,Patricia Thomas,$350.00,2,Individual,6/1/2022,7/30/2024,519,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00060,Lapsed,Not Recurrent,Steven Roberts,$50.00,1,Individual,9/15/2022,9/15/2022,1203,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00061,Lapsed,Not Recurrent,Edward Sanchez,$400.00,2,Individual,1/24/2022,8/21/2022,1228,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00062,Lapsing,Not Recurrent,Jessica Torres,$25.00,1,Individual,5/24/2024,5/24/2024,586,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
